Building Type(0),Space Type(1),Default Schedule(2),Alias(3),Ventilation Name(4),Outdoor Air Flow per Person (m3/s)(5),Outdoor Air Flow per Floor Area(m3/s)(6),Outdoor Air Flow (m3/s)(7),Outdoor Air Flow  Air Changes per Hour (1/h)(8),People Defination(9),People/m2(10),Lights Defination(11),Lights(W/m2)(12),Lights_sch(13),people_act_sch(14),people_sch(15)
Thai Hospital,TH-2016-Hospital-Patient Room,Thai Hospital Schedule Set,TH-MinReg39-Hospital-Patient Room,TH-MinReg39-Hospital-Patient Room-Ventilation,0,0,0,2,90.1-2007-Hospital-PatRoom People Definition,0.05382,90.1-2007-Hospital-Patient Room-Lights Definition,8,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
Thai Hospital,TH-2016-Hospital-Operating Room,Thai Hospital Schedule Set,TH-MinReg39-Hospital-Operating Room,TH-MinReg39-Hospital-Operating Room-Ventilation,0,0,0,8,90.1-2007-Hospital-OR People Definition,0.05382,90.1-2007-Hospital-Operating Room-Lights Definition,24,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
Thai Hospital,TH-2016-Hospital-Emergency Room,Thai Hospital Schedule Set,TH-MinReg39-Hospital-Emergency Room,TH-MinReg39-Hospital-Emergency Room-Ventilation,0,0,0,5,90.1-2007-Hospital-ER_Exam People Definition,0.215278,90.1-2007-Hospital-Emergency Room-Lights Definition,29,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
Thai Hospital,TH-2016-Hospital-ICU ,Thai Hospital Schedule Set,TH-MinReg39-Hospital-ICU,TH-MinReg39-Hospital-ICU-Ventilation,0,0,0,5,90.1-2007-Hospital-ICU_Open People Definition,0.215278,90.1-2007-Hospital-ICU-Lights Definition,29,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
Thai Hospital,TH-2016-Hospital-Pharmacy,Thai Hospital Schedule Set,EIT-2016-Hospital-Pharmacy,EIT-2016-Hospital-Pharmacy-Ventilation,0.0025,0.0006,0,0,EIT-2016-Hospital-Pharmacy-People Definition,0.1,90.1-2007-Hospital-Pharmacy-Lights Definition,15,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
Thai Hospital,TH-2016-Hospital-Conference,Thai Hospital Schedule Set,EIT-2016-Hospital-Conference,EIT-2016-Hospital-Conference-Ventilation,0.0025,0.0003,0,0,EIT-2016-Hospital-Conference-People Definition,0.5,90.1-2007-Hospital-Conference-Lights Definition,14,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
Thai Hospital,TH-2016-Hospital-Corridor,Thai Hospital Schedule Set,EIT-2016-Hospital-Corridor,EIT-2016-Hospital-Corridor-Ventilation,0,0.0003,0,0,EIT-2016-Hospital-Corridor-People Definition,0,90.1-2007-Hospital-Corridor-Lights Definition,5,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
Thai Hospital,TH-2016-Hospital-Office space,Thai Hospital Schedule Set,EIT-2016-Hospital-Office space,EIT-2016-Hospital-Office space-Ventilation,0.0025,0.0003,0,0,EIT-2016-Hospital-Office space-People Definition,0.05,90.1-2007-Hospital-Office space-Lights Definition,12,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
Thai Hospital,TH-2016-Hospital-Restaurant-Dining ,Thai Hospital Schedule Set,EIT-2016-Hospital-Restaurant-Dining,EIT-2016-Hospital-Restaurant-Dining-Ventilation,0.0038,0.0009,0,0,EIT-2016-Hospital-Restaurant-Dining-People Definition,0.7,90.1-2007-Hospital-Restaurant-Dining-Lights Definition,23,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
Thai Hospital,TH-2016-Hospital-Cafeteria/Fast-food dining,Thai Hospital Schedule Set,EIT-2016-Hospital-Cafeteria/Fast-food dining,EIT-2016-Hospital-Cafeteria/Fast-food dining-Ventilation,0.0038,0.0009,0,0,EIT-2016-Hospital-Cafeteria/Fast-food dining-People Definition,1,90.1-2007-Hospital-Cafeteria/Fast-food dining-Lights Definition,15,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
Thai Hospital,TH-2016-Hospital-Kitchen ,Thai Hospital Schedule Set,EIT-2016-Hospital-Kitchen,EIT-2016-Hospital-Kitchen-Ventilation,0.0038,0.0006,0,0,EIT-2016-Hospital-Kitchen-People Definition,0.2,90.1-2007-Hospital-Kitchen-Lights Definition,23,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
Thai Hospital,TH-2016-Hospital-Laundry ,Thai Hospital Schedule Set,EIT-2016-Hospital-Laundry,EIT-2016-Hospital-Laundry-Ventilation,0.0025,0.0006,0,0,EIT-2016-Hospital-Laundry-People Definition,0.1,90.1-2007-Hospital-Laundry-Lights Definition,6,Thai Hospital Light Schedule Ruleset,Thai Hospital Activity Schedule Ruleset,Thai Hospital Misc Occ
Thai Education Facility,TH-2016-Edu-Daycare (through age 4),Thai Education Facility Schedule Set,EIT-2016-Edu-Daycare (through age 4),EIT-2016-Edu-Daycare (through age 4)-Ventilation,0.005,0.0009,0,0,EIT-2016- Edu-Daycare (through age 4)-People Definition,0.25,90.1-2007-Edu-Daycare (through age 4)-Lights Definition,15,Thai Education Facility Light Schedule Ruleset,Thai Education Facility Activity Schedule Ruleset,Thai Education Facility Misc Occ
Thai Education Facility,TH-2016-Edu-Daycare sickroom,Thai Education Facility Schedule Set,EIT-2016-Edu-Daycare sickroom,EIT-2016-Edu-Daycare sickroom-Ventilation,0.005,0.0009,0,0,EIT-2016- Edu-Daycare sickroom-People Definition,0.25,90.1-2007-Edu-Daycare sickroom-Lights Definition,15,Thai Education Facility Light Schedule Ruleset,Thai Education Facility Activity Schedule Ruleset,Thai Education Facility Misc Occ
Thai Education Facility,TH-2016-Edu-Classroom (age 5-8),Thai Education Facility Schedule Set,EIT-2016-Edu-Classroom (age 5-8),EIT-2016-Edu-Classroom (age 5-8)-Ventilation,0.005,0.0006,0,0,EIT-2016- Edu-Classroom (age 5-8)-People Definition,0.25,90.1-2007-Edu-Classroom (age 5-8)-Lights Definition,15,Thai Education Facility Light Schedule Ruleset,Thai Education Facility Activity Schedule Ruleset,Thai Education Facility Misc Occ
Thai Education Facility,TH-2016-Edu-Classroom (age9 plus),Thai Education Facility Schedule Set,EIT-2016-Edu-Classroom (age9 plus),EIT-2016-Edu-Classroom (age9 plus)-Ventilation,0.005,0.0006,0,0,EIT-2016- Edu-Classroom (age9 plus)-People Definition,0.35,90.1-2007-Edu-Classroom (age9 plus)-Lights Definition,15,Thai Education Facility Light Schedule Ruleset,Thai Education Facility Activity Schedule Ruleset,Thai Education Facility Misc Occ
Thai Education Facility,TH-2016-Edu-Lecture classroom,Thai Education Facility Schedule Set,EIT-2016-Edu-Lecture classroom,EIT-2016-Edu-Lecture classroom-Ventilation,0.0038,0.0003,0,0,EIT-2016- Edu-Lecture classroom-People Definition,0.65,90.1-2007-Edu-Lecture classroom-Lights Definition,15,Thai Education Facility Light Schedule Ruleset,Thai Education Facility Activity Schedule Ruleset,Thai Education Facility Misc Occ
Thai Education Facility,TH-2016-Edu-Lecture hall ,Thai Education Facility Schedule Set,EIT-2016-Edu-Lecture hall,EIT-2016-Edu-Lecture hall-Ventilation,0.0038,0.0003,0,0,EIT-2016- Edu-Lecture hall-People Definition,1.5,90.1-2007-Edu-Lecture hall-Lights Definition,15,Thai Education Facility Light Schedule Ruleset,Thai Education Facility Activity Schedule Ruleset,Thai Education Facility Misc Occ
Thai Education Facility,TH-2016-Edu-Art classroom,Thai Education Facility Schedule Set,EIT-2016-Edu-Art classroom,EIT-2016-Edu-Art classroom-Ventilation,0.005,0.0009,0,0,EIT-2016- Edu-Art classroom-People Definition,0.2,90.1-2007-Edu-Art classroom-Lights Definition,15,Thai Education Facility Light Schedule Ruleset,Thai Education Facility Activity Schedule Ruleset,Thai Education Facility Misc Occ
Thai Education Facility,TH-2016-Edu-Science laboratory,Thai Education Facility Schedule Set,EIT-2016-Edu-Science laboratory,EIT-2016-Edu-Science laboratory-Ventilation,0.005,0.0009,0,0,EIT-2016- Edu-Science laboratory-People Definition,0.25,90.1-2007-Edu-Science laboratory-Lights Definition,15,Thai Education Facility Light Schedule Ruleset,Thai Education Facility Activity Schedule Ruleset,Thai Education Facility Misc Occ
Thai Education Facility,TH-2016-Edu-University/College laboratory,Thai Education Facility Schedule Set,EIT-2016-Edu-University/College laboratory,EIT-2016-Edu-University/College laboratory-Ventilation,0.005,0.0009,0,0,EIT-2016- Edu-University/College laboratory-People Definition,0.25,90.1-2007-Edu-University/College laboratory-Lights Definition,15,Thai Education Facility Light Schedule Ruleset,Thai Education Facility Activity Schedule Ruleset,Thai Education Facility Misc Occ
Thai Education Facility,TH-2016-Edu-Wood/Metal shop,Thai Education Facility Schedule Set,EIT-2016-Edu-Wood/Metal shop,EIT-2016-Edu-Wood/Metal shop-Ventilation,0.005,0.0009,0,0,EIT-2016- Edu-Wood/Metal shop-People Definition,0.2,90.1-2007-Edu-Wood/Metal shop-Lights Definition,15,Thai Education Facility Light Schedule Ruleset,Thai Education Facility Activity Schedule Ruleset,Thai Education Facility Misc Occ
Thai Education Facility,TH-2016-Edu-Computer lab,Thai Education Facility Schedule Set,EIT-2016-Edu-Computer lab,EIT-2016-Edu-Computer lab-Ventilation,0.005,0.0006,0,0,EIT-2016- Edu-Computer lab-People Definition,0.25,90.1-2007-Edu-Computer lab-Lights Definition,15,Thai Education Facility Light Schedule Ruleset,Thai Education Facility Activity Schedule Ruleset,Thai Education Facility Misc Occ
Thai Education Facility,TH-2016-Edu-Media center,Thai Education Facility Schedule Set,EIT-2016-Edu-Media center,EIT-2016-Edu-Media center-Ventilation,0.005,0.0006,0,0,EIT-2016- Edu-Media center-People Definition,0.25,90.1-2007-Edu-Media center-Lights Definition,15,Thai Education Facility Light Schedule Ruleset,Thai Education Facility Activity Schedule Ruleset,Thai Education Facility Misc Occ
Thai Education Facility,TH-2016-Edu-Theater,Thai Education Facility Schedule Set,EIT-2016-Edu-Theater,EIT-2016-Edu-Theater-Ventilation,0.005,0.0003,0,0,EIT-2016- Edu-Theater-People Definition,0.35,90.1-2007-Edu-Theater-Lights Definition,15,Thai Education Facility Light Schedule Ruleset,Thai Education Facility Activity Schedule Ruleset,Thai Education Facility Misc Occ
Thai Education Facility,TH-2016-Edu-Multipurpose,Thai Education Facility Schedule Set,EIT-2016-Edu-Multipurpose,EIT-2016-Edu-Multipurpose-Ventilation,0.0038,0.0003,0,0,EIT-2016- Edu-Multipurpose-People Definition,1,90.1-2007-Edu-Multipurpose-Lights Definition,14,Thai Education Facility Light Schedule Ruleset,Thai Education Facility Activity Schedule Ruleset,Thai Education Facility Misc Occ
Thai Education Facility,TH-2016-Edu-Corridor,Thai Education Facility Schedule Set,EIT-2016-Edu-Corridor,EIT-2016-Edu-Corridor-Ventilation,0,0.0003,0,0,EIT-2016-Edu-Corridor-People Definition,0,90.1-2007-Edu-Corridor-Lights Definition,5,Thai Education Facility Light Schedule Ruleset,Thai Education Facility Activity Schedule Ruleset,Thai Education Facility Misc Occ
Thai Education Facility,TH-2016-Edu-Conference,Thai Education Facility Schedule Set,EIT-2016-Edu-Conference,EIT-2016-Edu-Conference-Ventilation,0.0025,0.0003,0,0,EIT-2016-Edu-Conference-People Definition,0.5,90.1-2007-Edu-Conference-Lights Definition,14,Thai Education Facility Light Schedule Ruleset,Thai Education Facility Activity Schedule Ruleset,Thai Education Facility Misc Occ
Thai Education Facility,TH-2016-Edu-Office space,Thai Education Facility Schedule Set,EIT-2016-Edu-Office space,EIT-2016-Edu-Office space-Ventilation,0.0025,0.0003,0,0,EIT-2016-Edu-Office space-People Definition,0.05,90.1-2007-Edu-Office space-Lights Definition,12,Thai Education Facility Light Schedule Ruleset,Thai Education Facility Activity Schedule Ruleset,Thai Education Facility Misc Occ
Thai Education Facility,TH-2016-Edu-Breakroom,Thai Education Facility Schedule Set,EIT-2016-Edu-Breakroom,EIT-2016-Edu-Breakroom-Ventilation,0.0025,0.0003,0,0,EIT-2016-Edu-Breakroom-People Definition,0.25,90.1-2007-Edu-Breakroom-Lights Definition,13,Thai Education Facility Light Schedule Ruleset,Thai Education Facility Activity Schedule Ruleset,Thai Education Facility Misc Occ
Thai Education Facility,TH-2016-Edu-Coffee station,Thai Education Facility Schedule Set,EIT-2016-Edu-Coffee station,EIT-2016-Edu-Coffee station-Ventilation,0.0025,0.0003,0,0,EIT-2016-Edu-Coffee station-People Definition,0.2,90.1-2007-Edu-Coffee station-Lights Definition,15,Thai Education Facility Light Schedule Ruleset,Thai Education Facility Activity Schedule Ruleset,Thai Education Facility Misc Occ
Thai Education Facility,TH-2016-Edu-Fast-food dining,Thai Education Facility Schedule Set,EIT-2016-Edu-Fast-food dining,EIT-2016-Edu-Fast-food dining-Ventilation,0.0038,0.0009,0,0,EIT-2016-Edu-Fast food dining-People Definition,1,90.1-2007-Edu-Fast food dining-Lights Definition,15,Thai Education Facility Light Schedule Ruleset,Thai Education Facility Activity Schedule Ruleset,Thai Education Facility Misc Occ
Thai Office,TH-2016-Office-Breakroom,Thai Office Schedule Set,EIT-2016-Office-Breakroom,EIT-2016-Office-Breakroom-Ventilation,0.0025,0.0006,0,0,EIT-2016-Office-Breakroom-People Definition,0.5,90.1-2007-Office-Breakroom-Lights Definition,13,Thai Office Light Schedule Ruleset,Thai Office Activity Schedule Ruleset,Thai Office Misc Occ
Thai Office,TH-2016-Office-Lobby,Thai Office Schedule Set,EIT-2016-Office-Lobby,EIT-2016-Office-Lobby-Ventilation,0.0025,0.0003,0,0,EIT-2016-Office-Lobby-People Definition,0.1,90.1-2007-Office-Lobby-Lights Definition,13,Thai Office Light Schedule Ruleset,Thai Office Activity Schedule Ruleset,Thai Office Misc Occ
Thai Office,TH-2016-Office-Storage ,Thai Office Schedule Set,EIT-2016-Office-Storage,EIT-2016-Office-Storage-Ventilation,0.0025,0.0003,0,0,EIT-2016-Office-Storage-People Definition,0.02,90.1-2007-Office-Storage-Lights Definition,9,Thai Office Light Schedule Ruleset,Thai Office Activity Schedule Ruleset,Thai Office Misc Occ
Thai Office,TH-2016-Office-Office space,Thai Office Schedule Set,EIT-2016-Office-Office space,EIT-2016-Office-Office space-Ventilation,0.0025,0.0003,0,0,EIT-2016-Office-Office space-People Definition,0.05,90.1-2007-Office-Office space-Lights Definition,12,Thai Office Light Schedule Ruleset,Thai Office Activity Schedule Ruleset,Thai Office Misc Occ
Thai Office,TH-2016-Office-Reception area,Thai Office Schedule Set,EIT-2016-Office-Reception area,EIT-2016-Office-Reception area-Ventilation,0.0025,0.0003,0,0,EIT-2016-Office-Reception area-People Definition,0.3,90.1-2007-Office-Reception area-Lights Definition,5,Thai Office Light Schedule Ruleset,Thai Office Activity Schedule Ruleset,Thai Office Misc Occ
Thai Office,TH-2016-Office-Telephone/data entry,Thai Office Schedule Set,EIT-2016-Office-Telephone/data entry,EIT-2016-Office-Telephone/data entry-Ventilation,0.0025,0.0003,0,0,EIT-2016-Office-Telephone/data entry-People Definition,0.6,90.1-2007-Office-Telephone/data entry-Lights Definition,3,Thai Office Light Schedule Ruleset,Thai Office Activity Schedule Ruleset,Thai Office Misc Occ
Thai Office,TH-2016-Office-Conference,Thai Office Schedule Set,EIT-2016-Office-Conference,EIT-2016-Office-Conference-Ventilation,0.0025,0.0003,0,0,EIT-2016-Office-Conference-People Definition,0.5,90.1-2007-Office-Conference-Lights Definition,14,Thai Office Light Schedule Ruleset,Thai Office Activity Schedule Ruleset,Thai Office Misc Occ
Thai Office,TH-2016-Office-Corridor,Thai Office Schedule Set,EIT-2016-Office-Corridor,EIT-2016-Office-Corridor-Ventilation,0,0.0003,0,0,EIT-2016-Office-Corridor-People Definition,0,90.1-2007-Office-Corridor-Lights Definition,5,Thai Office Light Schedule Ruleset,Thai Office Activity Schedule Ruleset,Thai Office Misc Occ
Thai Office,TH-2016-Office-Computer,Thai Office Schedule Set,EIT-2016-Office-Computer,EIT-2016-Office-Computer-Ventilation,0.0028,0.0003,0,0,EIT-2016-Office-Computer-People Definition,0.04,90.1-2007-Office-Computer-Lights Definition,12,Thai Office Light Schedule Ruleset,Thai Office Activity Schedule Ruleset,Thai Office Misc Occ
Thai Office,TH-2016-Office-Breakroom,Thai Office Schedule Set,EIT-2016-Office-Breakroom,EIT-2016-Office-Breakroom-Ventilation,0.0025,0.0003,0,0,EIT-2016-Office-Breakroom-People Definition,0.25,90.1-2007-Office-Breakroom-Lights Definition,13,Thai Office Light Schedule Ruleset,Thai Office Activity Schedule Ruleset,Thai Office Misc Occ
Thai Office,TH-2016-Office-Coffee station,Thai Office Schedule Set,EIT-2016-Office-Coffee station,EIT-2016-Office-Coffee station-Ventilation,0.0025,0.0003,0,0,EIT-2016-Office-Coffee station-People Definition,0.2,90.1-2007-Office-Coffee station-Lights Definition,15,Thai Office Light Schedule Ruleset,Thai Office Activity Schedule Ruleset,Thai Office Misc Occ
Thai Office,TH-2016-Office-Fast food dining,Thai Office Schedule Set,EIT-2016-Office-Fast food dining,EIT-2016-Office-Fast food dining-Ventilation,0.0038,0.0009,0,0,EIT-2016-Office-Fast food dining-People Definition,1,90.1-2007-Office-Fast food dining-Lights Definition,15,Thai Office Light Schedule Ruleset,Thai Office Activity Schedule Ruleset,Thai Office Misc Occ
Thai Condominium,TH-2016-Con-Dwelling unit,Thai Condominium Schedule Set,EIT-2016-Con-Dwelling unit,EIT-2016-Con-Dwelling unit-Ventilation,0,0.0003,0,0,EIT-2016-Con-Dwelling unit-People Definition,0,90.1-2007-Con-Dwelling unit-Lights Definition,12,Thai Condominium Light Schedule Ruleset,Thai Condominium Activity Schedule Ruleset,Thai Condominium Misc Occ
Thai Condominium,TH-2016-Con-Corridor,Thai Condominium Schedule Set,EIT-2016-Con-Corridor,EIT-2016-Con-Corridor-Ventilation,0,0.0003,0,0,EIT-2016-Con-Corridor-People Definition,0,90.1-2007-Con-Corridor-Lights Definition,5,Thai Condominium Light Schedule Ruleset,Thai Condominium Activity Schedule Ruleset,Thai Condominium Misc Occ
Thai Condominium,TH-2016-Con-Lobby,Thai Condominium Schedule Set,EIT-2016-Con-Lobby,EIT-2016-Con-Lobby-Ventilation,0.0025,0.0003,0,0,EIT-2016-Con-Lobby-People Definition,0.1,90.1-2007-Con-Lobby-Lights Definition,13,Thai Condominium Light Schedule Ruleset,Thai Condominium Activity Schedule Ruleset,Thai Condominium Misc Occ
Thai Condominium,TH-2016-Con-Office space,Thai Condominium Schedule Set,EIT-2016-Con-Office space,EIT-2016-Con-Office space-Ventilation,0.0025,0.0003,0,0,EIT-2016-Con-Office space-People Definition,0.05,90.1-2007-Con-Office space-Lights Definition,12,Thai Condominium Light Schedule Ruleset,Thai Condominium Activity Schedule Ruleset,Thai Condominium Misc Occ
Thai Condominium,TH-2016-Con-Conference,Thai Condominium Schedule Set,EIT-2016-Con-Conference,EIT-2016-Con-Conference-Ventilation,0.0025,0.0003,0,0,EIT-2016-Con-Conference-People Definition,0.5,90.1-2007-Con-Conference-Lights Definition,14,Thai Condominium Light Schedule Ruleset,Thai Condominium Activity Schedule Ruleset,Thai Condominium Misc Occ
Thai Condominium,TH-2016-Con-Breakroom,Thai Condominium Schedule Set,EIT-2016-Con-Breakroom,EIT-2016-Con-Breakroom-Ventilation,0.0025,0.0003,0,0,EIT-2016-Con-Breakroom-People Definition,0.25,90.1-2007-Con-Breakroom-Lights Definition,13,Thai Condominium Light Schedule Ruleset,Thai Condominium Activity Schedule Ruleset,Thai Condominium Misc Occ
Thai Condominium,TH-2016-Con-Coffee station,Thai Condominium Schedule Set,EIT-2016-Con-Coffee stations,EIT-2016-Con-Coffee stations-Ventilation,0.0025,0.0003,0,0,EIT-2016-Con-Coffee station-People Definition,0.2,90.1-2007-Con-Coffee station-Lights Definition,15,Thai Condominium Light Schedule Ruleset,Thai Condominium Activity Schedule Ruleset,Thai Condominium Misc Occ
Thai Condominium,TH-2016-Con-Fast food dining,Thai Condominium Schedule Set,EIT-2016-Con-Fast food dining,EIT-2016-Con-Fast food dining-Ventilation,0.0038,0.0009,0,0,EIT-2016-Con-Fast food dining-People Definition,1,90.1-2007-Con-Fast food dining-Lights Definition,15,Thai Condominium Light Schedule Ruleset,Thai Condominium Activity Schedule Ruleset,Thai Condominium Misc Occ
Thai Condominium,TH-2016-Con-Coin-operated laundry,Thai Condominium Schedule Set,EIT-2016-Con-Coin-operated laundry,EIT-2016-Con-Coin-operated laundry-Ventilation,0.0038,0.0006,0,0,EIT-2016-Con-Coin-operated laundry-People Definition,0.2,90.1-2007-Con-Coin-operated laundry-Lights Definition,18,Thai Condominium Light Schedule Ruleset,Thai Condominium Activity Schedule Ruleset,Thai Condominium Misc Occ
Thai Exhibition hall/Gymnasium,TH-2016-Gym-Sport arena (play area),Thai Exhibition hall/Gymnasium Schedule Set,EIT-2016-Gym-Sport arena (play area),EIT-2016-Gym-Sport arena (play area)-Ventilation,0.01,0.0009,0,0,EIT-2016-Gym-Sport arena (play area)-People Definition,0.07,90.1-2007-Gym-Sport arena (play area)-Lights Definition,29,Thai Entertainment Complex Light Schedule Ruleset,Thai Entertainment Complex Activity Schedule Ruleset,Thai Entertainment Complex Misc Occ
Thai Exhibition hall/Gymnasium,TH-2016-Gym-Gym stadium (play area),Thai Exhibition hall/Gymnasium Schedule Set,EIT-2016-Gym-Gym stadium (play area),EIT-2016-Gym-Gym stadium (play area)-Ventilation,0.01,0.0009,0,0,EIT-2016-Gym-Gym stadium (play area)-People Definition,0.07,90.1-2007-Gym-Gym stadium (play area)-Lights Definition,10,Thai Entertainment Complex Light Schedule Ruleset,Thai Entertainment Complex Activity Schedule Ruleset,Thai Entertainment Complex Misc Occ
Thai Exhibition hall/Gymnasium,TH-2016-Gym-Spectator areas,Thai Exhibition hall/Gymnasium Schedule Set,EIT-2016-Gym-Spectator areas,EIT-2016-Gym-Spectator areas-Ventilation,0.0038,0.0003,0,0,EIT-2016-Gym-Spectator areas-People Definition,1.5,90.1-2007-Gym-Spectator areas-Lights Definition,4,Thai Entertainment Complex Light Schedule Ruleset,Thai Entertainment Complex Activity Schedule Ruleset,Thai Entertainment Complex Misc Occ
Thai Exhibition hall/Gymnasium,TH-2016-Gym-Swimming (pool & deck),Thai Exhibition hall/Gymnasium Schedule Set,EIT-2016-Gym-Swimming (pool & deck),EIT-2016-Gym-Swimming (pool & deck)-Ventilation,0,0.0024,0,0,EIT-2016-Gym-Swimming (pool & deck)-People Definition,0,90.1-2007-Gym-Swimming (pool & deck)-Lights Definition,29,Thai Entertainment Complex Light Schedule Ruleset,Thai Entertainment Complex Activity Schedule Ruleset,Thai Entertainment Complex Misc Occ
Thai Exhibition hall/Gymnasium,TH-2016-Gym-Disco/dance floors,Thai Exhibition hall/Gymnasium Schedule Set,EIT-2016-Gym-Disco/dance floors,EIT-2016-Gym-Disco/dance floors-Ventilation,0.01,0.0003,0,0,EIT-2016-Gym-Disco/dance floors-People Definition,1,90.1-2007-Gym-Disco/dance floors-Lights Definition,15,Thai Entertainment Complex Light Schedule Ruleset,Thai Entertainment Complex Activity Schedule Ruleset,Thai Entertainment Complex Misc Occ
Thai Exhibition hall/Gymnasium,TH-2016-Gym-Health club/aerobics room,Thai Exhibition hall/Gymnasium Schedule Set,EIT-2016-Gym-Health club/aerobics room,EIT-2016-Gym-Health club/aerobics room-Ventilation,0.01,0.0003,0,0,EIT-2016-Gym-Health club/aerobics room-People Definition,0.4,90.1-2007-Gym-Health club/aerobics room-Lights Definition,10,Thai Entertainment Complex Light Schedule Ruleset,Thai Entertainment Complex Activity Schedule Ruleset,Thai Entertainment Complex Misc Occ
Thai Exhibition hall/Gymnasium,TH-2016-Gym-Health club/weight room,Thai Exhibition hall/Gymnasium Schedule Set,EIT-2016-Gym-Health club/weight room,EIT-2016-Gym-Health club/weight room-Ventilation,0.01,0.0003,0,0,EIT-2016-Gym-Health club/weight room-People Definition,0.1,90.1-2007-Gym-Health club/weight room-Lights Definition,15,Thai Entertainment Complex Light Schedule Ruleset,Thai Entertainment Complex Activity Schedule Ruleset,Thai Entertainment Complex Misc Occ
Thai Exhibition hall/Gymnasium,TH-2016-Gym-Bowling alley (seating),Thai Exhibition hall/Gymnasium Schedule Set,EIT-2016-Gym-Bowling alley (seating),EIT-2016-Gym-Bowling alley (seating)-Ventilation,0.005,0.0006,0,0,EIT-2016-Gym-Bowling alley (seating)-People Definition,0.4,90.1-2007-Gym-Bowling alley (seating)-Lights Definition,15,Thai Entertainment Complex Light Schedule Ruleset,Thai Entertainment Complex Activity Schedule Ruleset,Thai Entertainment Complex Misc Occ
Thai Exhibition hall/Gymnasium,TH-2016-Gym-Game arcades,Thai Exhibition hall/Gymnasium Schedule Set,EIT-2016-Gym-Game arcades,EIT-2016-Gym-Game arcades-Ventilation,0.0038,0.0009,0,0,EIT-2016-Gym-Game arcades-People Definition,0.2,90.1-2007-Gym-Game arcades-Lights Definition,15,Thai Entertainment Complex Light Schedule Ruleset,Thai Entertainment Complex Activity Schedule Ruleset,Thai Entertainment Complex Misc Occ
